Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
7,99,Yes,9,1,91.8439
8,51,Yes,7,2,45.0717
8,91,No,4,5,84.3275
5,79,No,7,8,65.5835
2,72,No,4,3,47.4301
2,54,Yes,4,9,30.8884
1,99,Yes,4,3,72.6461
1,85,No,5,6,58.8814
3,61,No,6,3,40.0662
9,84,Yes,6,6,81.8267
5,90,Yes,4,3,74.9268
3,61,Yes,7,3,41.1461
7,44,Yes,9,1,35.8608
2,55,Yes,4,1,30.3246
2,63,Yes,6,0,39.2422
4,73,Yes,7,0,55.6279
8,61,No,7,2,54.6566
2,89,Yes,6,1,65.9047
6,81,No,9,9,71.6496
6,62,Yes,9,0,51.1244
2,54,Yes,9,5,32.5284
8,48,No,6,0,40.5426
9,97,Yes,8,5,95.8336
1,87,Yes,8,8,63.3648
7,61,Yes,4,7,51.9201
8,62,Yes,4,2,54.8098
8,68,No,7,3,61.9795
3,54,Yes,5,0,32.4556
3,69,No,4,7,48.0277
7,80,No,8,3,71.8197
9,99,No,4,1,94.5401
8,61,Yes,6,9,56.1483
3,48,No,7,5,27.7154
8,64,No,5,1,56.5402
7,53,No,5,9,44.0649
7,89,No,8,1,80.5852
5,40,No,4,9,24.6256
7,68,No,4,8,58.6491
3,67,No,9,8,48.6205
4,56,No,4,7,37.6557
7,91,Yes,6,3,82.6378
9,89,Yes,5,3,85.8367
4,54,No,7,5,36.683
7,96,No,5,3,86.6472
8,96,No,8,9,92.1524
6,59,Yes,4,9,47.4194
8,48,No,5,4,40.8473
1,72,No,7,0,45.435
4,77,Yes,8,6,61.3719
2,53,Yes,8,9,31.8152
3,56,No,5,7,35.2815
1,96,No,8,6,71.5365
1,72,Yes,5,7,46.4405
8,40,Yes,7,7,34.8636
2,45,Yes,4,3,20.5413
5,72,Yes,8,1,58.1543
1,69,Yes,9,8,45.5292
5,49,No,6,5,33.9679
7,58,Yes,6,2,48.8502
8,62,No,6,8,56.3746
1,43,No,6,4,16.2213
8,58,No,5,1,50.433
4,66,No,4,5,47.4391
6,73,No,8,7,62.6251
1,95,No,8,6,70.5186
9,77,Yes,9,1,75.1714
6,46,Yes,9,7,36.2224
3,65,No,4,4,43.3631
4,48,No,5,1,28.8126
2,55,Yes,6,7,32.4832
8,93,No,7,2,87.2286
7,49,Yes,7,3,40.3732
4,47,Yes,5,1,28.3885
5,87,No,5,3,71.7656
8,65,No,6,5,58.8351
3,54,Yes,6,3,33.5349
6,77,No,6,8,65.9219
3,62,Yes,9,0,42.5432
4,62,Yes,4,6,44.1591
4,78,No,8,3,61.2028
5,92,No,7,2,77.6295
7,52,No,6,5,42.7423
6,83,Yes,4,7,71.453
3,48,No,5,1,25.9522
2,66,Yes,6,3,42.889
5,68,No,4,8,52.9284
1,76,No,8,5,50.9812
3,90,Yes,7,7,71.4554
3,46,Yes,4,2,24.2218
9,72,No,7,1,68.5159
5,77,No,7,4,62.7568
4,89,Yes,7,8,73.4956
8,44,No,6,5,37.4597
2,99,Yes,9,5,78.3328
1,99,Yes,4,6,73.2393
9,93,No,7,5,90.6822
8,91,No,5,8,85.4068
9,96,Yes,4,3,92.4757
1,61,No,8,3,35.3177
3,73,Yes,5,0,51.7952
2,45,Yes,4,5,20.9367
4,41,Yes,8,2,23.9375
5,44,No,6,0,27.8899
7,84,No,6,9,76.1052
4,89,Yes,7,1,72.1116
7,51,Yes,6,7,42.7137
1,40,Yes,8,9,15.7224
5,83,No,5,0,67.1009
1,83,No,8,0,57.1178
1,86,Yes,5,9,61.0862
2,41,No,8,8,18.8092
8,88,No,5,8,82.3532
6,77,No,6,4,65.1311
5,87,Yes,9,2,74.1063
9,65,Yes,4,8,61.9101
1,94,Yes,9,3,69.9875
5,56,Yes,5,2,40.6075
1,99,Yes,4,6,73.2393
5,62,Yes,7,2,47.6871
7,85,No,9,8,78.3838
3,82,No,6,2,61.2438
5,89,No,7,4,74.9713
1,44,Yes,7,3,18.1215
3,89,No,8,7,70.3299
3,63,Yes,6,8,43.6843
1,77,Yes,4,1,49.8574
1,42,Yes,8,4,16.7696
3,80,No,7,3,59.892
8,88,No,9,2,83.1116
2,81,No,6,1,57.1678
9,50,Yes,9,9,49.2705
5,81,No,6,5,66.5399
9,86,Yes,6,9,84.4556
9,88,Yes,5,4,85.0166
3,76,Yes,5,9,56.6282
7,79,Yes,9,4,72.0795
1,99,No,7,5,73.9062
9,98,No,6,7,95.6808
4,40,Yes,6,5,22.5404
3,75,Yes,5,8,55.4127
9,44,No,5,1,39.0431
5,59,No,5,1,42.8696
3,76,Yes,5,6,56.0351
4,87,Yes,5,1,69.1035
5,40,Yes,7,8,26.4801
5,70,No,7,4,55.6317
9,90,No,5,8,87.2494
2,44,Yes,6,4,20.6934
6,40,Yes,4,0,26.3003
3,64,Yes,9,1,44.7767
1,43,Yes,7,4,17.3013
4,91,No,9,5,75.3167
4,45,No,6,8,27.6291
6,95,No,8,7,85.0183
7,85,Yes,9,4,78.1868
3,72,Yes,8,3,52.8289
8,54,No,6,6,47.8362
7,75,No,8,6,67.3235
1,53,Yes,8,5,28.1639
3,95,Yes,4,2,74.0977
1,53,Yes,6,2,26.5985
9,42,Yes,8,0,38.8619
5,89,Yes,6,7,75.6721
5,61,No,8,1,46.3639
5,74,No,5,3,58.5332
4,80,No,5,5,62.1755
2,52,Yes,7,8,30.1134
9,74,Yes,8,6,72.6202
1,90,Yes,5,5,64.3668
1,71,No,7,9,46.1966
9,58,No,6,4,54.3727
8,93,Yes,6,2,87.3363
9,52,No,4,5,47.4908
9,64,No,6,1,59.8868
2,42,No,8,9,20.0248
6,59,Yes,4,1,45.8377
1,71,Yes,9,6,47.1696
5,87,No,9,7,74.5011
7,89,No,9,4,81.6645
6,52,Yes,6,6,40.6735
3,67,Yes,8,6,48.3327
5,60,No,9,0,45.6344
5,99,No,7,5,85.3478
3,66,No,9,7,47.4049
1,99,Yes,9,8,76.0655
1,99,Yes,9,3,75.0769
2,68,No,7,1,44.4216
1,59,No,4,8,32.3259
5,91,Yes,4,8,76.9333
7,54,Yes,4,5,44.3996
2,95,No,9,7,74.0629
3,56,Yes,7,6,36.6499
4,50,Yes,6,7,33.1146
6,44,Yes,7,3,32.4235
1,65,No,8,2,39.1915
5,47,No,4,9,31.7507
5,95,No,9,1,81.4578
2,80,Yes,5,0,56.0599
3,95,Yes,5,1,74.3861
7,75,No,8,1,66.3349
8,55,Yes,5,9,49.5549
3,75,Yes,5,7,55.2149
5,53,No,8,8,39.6049
5,95,Yes,8,1,81.5654
9,84,Yes,8,8,83.1944
9,72,No,7,6,69.5045
6,55,Yes,6,6,43.7271
8,45,No,4,8,38.0984
3,42,No,9,3,22.185
8,51,Yes,6,8,45.7718
2,72,No,9,1,49.4654
8,70,No,8,3,64.5014
7,66,Yes,8,7,58.9541
9,41,Yes,8,5,38.8326
7,51,Yes,8,5,43.2906
5,61,No,7,0,45.68
6,76,No,8,2,64.6901
1,71,Yes,6,5,45.5134
2,63,Yes,9,4,41.4915
4,92,No,8,2,75.2553
6,82,No,4,6,69.6436
6,57,No,9,2,45.8366
4,66,No,8,6,49.5814
8,55,No,5,1,47.3793
9,57,Yes,4,8,53.7671
1,42,Yes,8,1,16.1764
6,93,No,5,5,81.1286
6,55,Yes,9,1,44.197
6,45,Yes,5,3,32.469
7,90,No,8,2,81.8008
8,89,Yes,5,8,83.9649
7,53,No,9,1,44.4278
8,86,Yes,5,9,81.109
5,87,Yes,6,7,73.6364
6,44,No,9,8,33.7905
1,71,Yes,6,6,45.7111
6,92,Yes,9,4,82.4515
3,45,Yes,7,4,25.0579
3,64,Yes,4,7,43.5321
4,48,No,9,4,31.3504
6,82,No,6,7,70.8136
4,75,No,6,5,57.5723
2,92,No,9,0,69.6252
9,92,No,5,2,88.0988
2,47,No,8,6,24.521
8,88,Yes,5,2,81.7607
2,66,No,8,6,43.8606
3,58,Yes,6,1,37.2109
1,64,No,6,9,38.5853
6,60,No,5,2,46.9456
8,63,Yes,9,5,58.8516
9,63,No,9,3,60.7228
3,99,No,9,0,79.6108
5,58,Yes,4,5,42.7503
8,67,No,6,3,60.4754
3,79,Yes,9,5,60.8356
6,81,No,9,5,70.8588
1,86,No,7,4,60.4761
1,52,Yes,9,7,28.0276
8,85,Yes,6,3,79.391
6,88,No,6,5,76.5254
3,90,Yes,5,6,70.2853
4,78,No,7,7,61.5075
1,47,No,9,0,20.9605
4,49,No,8,5,32.0798
2,46,No,5,0,20.8583
1,92,Yes,6,8,67.4819
6,76,Yes,6,4,64.707
4,66,No,4,0,46.4505
4,96,Yes,7,7,80.423
2,66,Yes,5,0,41.8097
6,81,Yes,8,5,70.9664
8,66,No,6,8,60.4461
7,42,No,5,7,32.4728
8,67,Yes,5,3,60.5831
4,69,No,5,7,51.3743
8,93,No,9,0,87.8055
7,68,No,9,6,60.6845
9,52,No,5,9,48.7678
1,42,Yes,6,3,15.5996
6,41,No,9,8,30.7369
8,77,Yes,5,2,70.5641
9,71,No,5,7,67.712
4,52,No,9,5,35.6196
2,98,No,8,0,75.2463
1,67,Yes,8,0,41.4256
6,99,No,6,4,87.5243
1,96,No,7,1,70.0617
1,96,Yes,5,6,70.6718
1,87,No,6,6,61.4033
1,59,Yes,7,9,34.5759
8,52,No,7,1,45.298
3,86,No,4,8,65.5293
2,83,Yes,4,5,59.6159
1,53,Yes,7,5,27.6778
2,91,Yes,7,7,69.6129
7,49,No,9,1,40.3563
7,64,Yes,6,7,55.9461
3,89,Yes,9,2,70.4213
8,81,No,5,2,74.0418
7,65,No,5,9,56.2794
6,75,No,7,7,64.1746
5,55,Yes,6,8,41.2621
7,87,No,8,6,79.538
